Show,wds_id,discov#,comp,first,last,Years of Obs,obs,pa_first,pa_last,Δ P.A.,sep_first,sep_last,Δ SEP,mag1,mag2,Δ Mag,spectr,pm1_ra,pm1_dec,PM 1,pm2_ra,pm2_dec,PM 2,rPM,notes,coord_arcsec_2000,gaia_source_id,parallax_mas,parallax_error_mas,Gmag
Show,14363+1924,ITF 140,BC,1955,2000,45,2,72,74,2,7.6,7.6,0.0,10.67,10.6,0.07,F9V+G4III,-3,-12,12.36931688,-3.0,-12.0,12.36931688,0.0,V,143615.38+192422.4,,,,
Show,14173-7035,WFC 147,,1892,2015,123,9,290,288,2,6.2,6.5,0.3,10.97,11.47,0.5,,-6,3,6.708203932,-6.0,3.0,6.708203932,0.0,T,141718.53-703448.6,,,,
Show,19395+1012,HJ 893,,1827,2015,188,24,195,190,5,8.0,7.7,0.3,9.48,10.09,0.61,K2,0,-7,7.0,0.0,-7.0,7.0,0.0,T,193929.10+101209.6,,,,
Show,18095+3151,KPP 951,,1998,2015,17,11,259,259,0,7.8,7.8,0.0,10.9,12.5,1.6,,6,58,58.30951895,6.0,58.0,58.30951895,0.0,V,180931.34+315103.0,,,,
Show,14568-7029,R 253,,1893,2015,122,11,169,167,2,8.8,9.3,0.5,10.31,12.0,1.69,A9/F0,4,-3,5.0,4.0,-3.0,5.0,0.0,NV,145650.84-702914.1,,,,
Show,21334-6024,TVB 320,BC,1998,2015,17,3,348,348,0,9.6,9.6,0.0,10.1,12.4,2.3,,64,-36,73.430239,65.0,-36.0,74.30343195,0.01361836777,TW,213322.28-602419.1,,,,
Show,18541+1212,KPP1159,,1997,2015,18,10,348,348,0,9.0,9.0,0.0,10.9,12.4,1.5,,-18,-47,50.32891813,-18.0,-48.0,51.26402247,0.01986929259,V,185403.62+121148.3,,,,
Show,22218-7822,GLI 274,AB,1850,2015,165,14,133,124,9,5.2,5.1,0.1,9.56,9.99,0.43,F7V,93,-29,97.41663102,93.0,-27.0,96.84007435,0.02053037535,T,222149.04-782224.2,,,,
Show,14585+6158,STI 779,,1902,2015,113,27,174,179,5,5.7,5.6,0.1,10.7,11.04,0.34,,-8,45,45.70557953,-8.0,44.0,44.72135955,0.02187916684,T,145825.51+615839.1,,,,
Show,22153+7830,HJ 3107,,1831,2015,184,12,185,186,1,7.0,8.9,1.9,10.3,12.5,2.2,G0,40,2,40.04996879,39.0,2.0,39.05124838,0.02496880847,,221517.71+783012.4,,,,
Show,21285-3906,WG 272,,1904,2015,111,6,87,85,2,8.2,7.5,0.7,10.4,11.8,1.4,,33,-43,54.20332093,32.0,-42.0,52.80151513,0.02609090251,,212829.33-390532.5,,,,
Show,21184+1233,BRT1352,,1907,2015,108,10,183,183,0,4.3,5.0,0.7,10.6,12.0,1.4,,-16,-30,34.0,-17.0,-30.0,34.4818793,0.02941176471,V,211821.13+123305.6,,,,
Show,19177+0847,HJ 5509,,1827,2015,188,21,100,105,5,10.0,7.1,2.9,9.8,10.23,0.43,A3,24,2,24.08318916,25.0,2.0,25.07987241,0.04152273993,NV,191744.84+084653.8,,,,
Show,15044-4945,HJ 4726,,1835,2015,180,13,98,99,1,3.5,6.6,3.1,9.78,10.01,0.23,A3/5II/,-16,-17,23.34523506,-16.0,-16.0,22.627417,0.04283529369,NV,150422.39-494432.6,,,,
Show,20204+1633,KPP 866,,1998,2015,17,10,347,348,1,7.3,7.3,0.0,11.0,12.7,1.7,,-15,-49,51.2445119,-17.0,-48.0,50.92150823,0.04363526736,V,202024.36+163311.8,,,,
Show,16022-6430,NZO 69,AB,1892,2015,123,14,9,3,6,7.6,6.1,1.5,9.99,9.95,0.04,F7/8V,-48,-45,65.7951366,-48.0,-48.0,67.88225099,0.04559607526,VW,160212.01-642952.4,,,,
Show,22545+3847,MLB 33,,1917,2015,98,14,299,299,0,5.7,6.2,0.5,10.46,11.9,1.44,,-13,-17,21.40093456,-12.0,-17.0,20.80865205,0.04672693135,,225428.14+384657.8,,,,
Show,20494+4613,ES 670,,1892,2015,123,12,82,81,1,6.7,6.5,0.2,11.0,11.1,0.1,,-19,-20,27.58622845,-18.0,-19.0,26.17250466,0.05126520159,,204927.16+461239.2,,,,
Show,14542-6117,B 2775,,1900,2015,115,8,65,61,4,8.0,8.2,0.2,9.98,10.99,1.01,A3III,-15,-11,18.60107524,-14.0,-11.0,17.80449381,0.05376033306,V,145411.06-611714.6,,,,
Show,17372+2754,KUI 83,"AB,C",1897,2015,118,17,63,65,2,9.2,9.5,0.3,9.35,11.61,2.26,M0V:p,-94,228,246.6171121,-86.0,239.0,254.0019685,0.05515217655,NV,173710.76+275347.1,,,,
Show,14137+1734,COU 60,,1965,2015,50,12,281,282,1,6.3,7.3,1.0,10.66,11.7,1.04,K4,-173,-44,178.5077029,-178.0,-35.0,181.4083791,0.0576761113,,141358.52+171233.6,,,,
Show,15403+3019,BRT 253,,1902,2015,113,12,266,268,2,4.5,5.4,0.9,10.09,11.31,1.22,,-15,-1,15.03329638,-15.0,-2.0,15.13274595,0.06651901052,V,154016.99+301847.6,,,,
Show,14110-6018,NZO 47,AC,1894,2015,121,13,327,321,6,8.9,8.9,0.0,10.98,12.5,1.52,A0V,-14,1,14.03566885,-15.0,1.0,15.03329638,0.07124704999,,141103.39-601837.7,,,,
Show,18002-4258,WFC 204,,1901,2015,114,9,298,291,7,8.0,7.8,0.2,9.67,10.58,0.91,A1/2IV,-3,-13,13.34166406,-3.0,-14.0,14.31782106,0.0749531689,V,180013.12-425814.1,,,,
Show,22318-4618,HJ 5341,,1834,2015,181,13,94,92,2,2.0,5.1,3.1,10.53,10.9,0.37,F2/3,55,-1,55.00909016,59.0,1.0,59.00847397,0.08129812622,,223151.75-461816.8,,,,
Show,22375+2356,HU 391,AC,1921,2015,94,17,191,194,3,5.9,5.6,0.3,9.71,12.44,2.73,K8,91,-12,91.78779875,94.0,-5.0,94.1328848,0.08297151919,V,223727.03+235616.5,,,,
Show,14126+4512,STF1815,,1830,2015,185,30,152,151,1,5.6,9.0,3.4,9.58,10.92,1.34,K0,-33,33,46.66904756,-30.0,36.0,46.86149806,0.09090909091,,141236.22+451152.5,,,,
Show,18133-6513,NZO 89,AB,1905,2015,110,15,120,101,19,2.0,5.4,3.4,10.29,10.53,0.24,F5V+F5V,-3,-24,24.18677324,-2.0,-26.0,26.07680962,0.0924500327,NV,181316.85-651251.6,,,,
Show,19138+0449,BAL2937,,1893,2015,122,8,94,95,1,7.4,6.8,0.6,9.7,11.7,2.0,F8,21,4,21.37755833,21.0,2.0,21.09502311,0.09355605394,,191347.24+044901.3,,,,
Show,20447+4131,MLB 25,,1892,2015,123,14,205,207,2,5.5,5.7,0.2,10.68,10.85,0.17,,-5,-9,10.29563014,-6.0,-9.0,10.81665383,0.09712858624,,204441.91+413032.8,,,,
Show,17095-2612,SKF2521,AB,1912,2015,103,8,45,45,0,7.6,7.4,0.2,10.2,10.2,0.0,F8,0,-22,22.0,-1.0,-24.0,24.0208243,0.1016394535,V,170932.44-261228.7,,,,
Show,21391+7421,KPP4240,,1895,2015,120,11,241,238,3,6.9,6.8,0.1,10.6,12.4,1.8,,30,-26,39.69886648,29.0,-22.0,36.40054945,0.1038595303,T,213905.35+742036.4,,,,
Show,15511-4224,HJ 4811,,1834,2015,181,11,65,62,3,3.0,8.7,5.7,10.47,11.02,0.55,F5V+F5V,-1,-13,13.03840481,-2.0,-12.0,12.16552506,0.1084652289,NT,155105.54-422431.9,,,,
Show,19542+2152,DAM1254,,1895,2015,120,10,46,45,1,8.6,8.4,0.2,9.8,12.0,2.2,F0,-5,7,8.602325267,-6.0,7.0,9.219544457,0.1162476387,,195411.06+215224.8,,,,
Show,21129+4616,TOI1315,,2003,2015,12,2,270,270,0,8.4,8.4,0.0,9.3,12.1,2.8,,11,4,11.70469991,12.0,3.0,12.36931688,0.1208244187,R,211256.42+461605.1,,,,
Show,16227-6659,MLO 72,AC,1892,2015,123,9,244,238,6,7.7,7.8,0.1,10.49,11.4,0.91,,8,-2,8.246211251,8.0,-1.0,8.062257748,0.1212678125,V,162241.88-665922.6,,,,
Show,20060+3606,SEI 864,,1896,2015,119,11,59,61,2,9.5,10.0,0.5,10.9,11.4,0.5,B9:,-4,-7,8.062257748,-4.0,-6.0,7.211102551,0.1240347346,,200600.87+360609.8,,,,
Show,19072-5842,TOI1110,,1998,2015,17,3,81,81,0,8.9,8.9,0.0,10.0,11.9,1.9,F5V,4,-7,8.062257748,4.0,-8.0,8.94427191,0.1240347346,R,190710.03-584150.0,,,,
Show,20263-1601,UC 4182,,1998,2015,17,5,103,102,1,8.7,8.5,0.2,9.7,11.6,1.9,G3V,-33,-63,71.11961755,-24.0,-62.0,66.48308055,0.1273261225,V,202615.48-160034.1,,,,
Show,15581-6545,R 268,AB,1881,2015,134,13,158,159,1,5.7,5.7,0.0,9.19,10.13,0.94,A3,-14,-28,31.30495168,-18.0,-28.0,33.28663395,0.127775313,,155803.93-654445.4,,,,
Show,15491-8403,TVB 281,,1895,2015,120,6,123,117,6,8.6,9.0,0.4,11.0,11.5,0.5,,8,13,15.26433752,8.0,11.0,13.60147051,0.1310243564,T,154908.43-840317.2,,,,
Show,20124+2124,DAM1255,,1894,2015,121,12,23,23,0,7.2,7.1,0.1,9.7,12.0,2.3,B8,-2,-7,7.280109889,-2.0,-8.0,8.246211251,0.1373605639,,201222.46+212416.3,,,,
Show,15071-4903,SKF 971,,1904,2015,111,6,213,214,1,9.0,9.2,0.2,10.8,11.0,0.2,A2+KIII,-14,-2,14.14213562,-14.0,-4.0,14.56021978,0.1414213562,,150706.12-490247.1,,,,
Show,15071-4903,SKF 971,,1904,2015,111,6,213,214,1,9.0,9.2,0.2,10.8,11.0,0.2,A2+KIII,-14,-2,14.14213562,-14.0,-4.0,14.56021978,0.1414213562,,150706.12-490247.1,,,,
Show,22469-5844,HJ 5360,,1835,2015,180,9,89,85,4,9.5,9.6,0.1,10.02,11.8,1.78,G2,-25,-4,25.3179778,-27.0,-1.0,27.01851217,0.1424107132,,224653.61-584345.1,,,,
Show,22330+5652,STI2815,,1908,2015,107,12,295,296,1,7.9,7.4,0.5,10.91,12.4,1.49,,20,63,66.09841148,11.0,67.0,67.89698079,0.1490029425,,223306.54+565207.3,,,,
Show,19163+2823,MLB 525,,1927,2015,88,9,15,22,7,5.6,6.0,0.4,11.0,12.0,1.0,,6,7,9.219544457,7.0,8.0,10.63014581,0.1533929978,,191630.85+282242.2,,,,
Show,20312+2855,ES 506,,1892,2015,123,8,306,304,2,6.0,5.9,0.1,9.63,12.1,2.47,G5,6,7,9.219544457,5.0,6.0,7.810249676,0.1533929978,,203114.38+285505.7,,,,
Show,18573+0121,J 2158,,1909,2015,106,10,53,62,9,6.5,6.1,0.4,9.64,12.4,2.76,G0,32,-1,32.01562119,35.0,-5.0,35.35533906,0.1561737619,,185719.47+012033.3,,,,
Show,21021+3246,ES 2357,,1893,2014,121,11,335,334,1,9.7,9.2,0.5,9.89,11.4,1.51,G5,10,14,17.20465053,8.0,12.0,14.4222051,0.1643989873,,210203.49+324616.6,,,,
